date,casosNovos,casosAcumulados,localidade,obitosNovos,obitosAcumulados
2020-03-11,2,2,CURITIBA,0.0,0.0
2020-03-11,2,2,NUC,0.0,0.0
2020-03-12,3,5,CURITIBA,0.0,0.0
2020-03-12,3,5,NUC,0.0,0.0
2020-03-13,4,9,CURITIBA,0.0,0.0
2020-03-13,4,9,NUC,0.0,0.0
2020-03-14,1,10,CURITIBA,0.0,0.0
2020-03-14,1,10,NUC,0.0,0.0
2020-03-15,0,10,CURITIBA,0.0,0.0
2020-03-16,3,13,NUC,0.0,0.0
2020-03-16,3,13,CURITIBA,0.0,0.0
2020-03-17,3,16,NUC,0.0,0.0
2020-03-17,3,16,CURITIBA,0.0,0.0
2020-03-18,17,33,NUC,0.0,0.0
2020-03-18,1,1,CAMPO LARGO,0.0,0.0
2020-03-18,16,32,CURITIBA,0.0,0.0
2020-03-19,15,47,CURITIBA,0.0,0.0
2020-03-19,15,48,NUC,0.0,0.0
2020-03-19,0,1,CAMPO LARGO,0.0,0.0
2020-03-20,1,2,CAMPO LARGO,0.0,0.0
2020-03-20,11,58,CURITIBA,0.0,0.0
2020-03-20,12,60,NUC,0.0,0.0
2020-03-21,2,60,CURITIBA,0.0,0.0
2020-03-21,0,2,CAMPO LARGO,0.0,0.0
2020-03-21,3,63,NUC,0.0,0.0
2020-03-21,1,1,PINHAIS,0.0,0.0
2020-03-22,12,75,NUC,0.0,0.0
2020-03-22,0,2,CAMPO LARGO,0.0,0.0
2020-03-22,0,1,PINHAIS,0.0,0.0
2020-03-22,1,1,COLOMBO,0.0,0.0
2020-03-22,11,71,CURITIBA,0.0,0.0
2020-03-23,17,92,NUC,0.0,0.0
2020-03-23,1,2,PINHAIS,0.0,0.0
2020-03-23,15,86,CURITIBA,0.0,0.0
2020-03-23,1,3,CAMPO LARGO,0.0,0.0
2020-03-23,0,1,COLOMBO,0.0,0.0
2020-03-24,11,97,CURITIBA,0.0,0.0
2020-03-24,0,1,COLOMBO,0.0,0.0
2020-03-24,1,3,PINHAIS,0.0,0.0
2020-03-24,12,104,NUC,0.0,0.0
2020-03-24,0,3,CAMPO LARGO,0.0,0.0
2020-03-25,0,1,COLOMBO,0.0,0.0
2020-03-25,1,1,ITAPERUCU,0.0,0.0
2020-03-25,17,114,CURITIBA,0.0,0.0
2020-03-25,18,122,NUC,0.0,0.0
2020-03-25,0,3,PINHAIS,0.0,0.0
2020-03-25,0,3,CAMPO LARGO,0.0,0.0
2020-03-26,0,3,CAMPO LARGO,0.0,0.0
2020-03-26,12,134,NUC,0.0,0.0
2020-03-26,0,1,COLOMBO,0.0,0.0
2020-03-26,0,3,PINHAIS,0.0,0.0
2020-03-26,12,126,CURITIBA,0.0,0.0
2020-03-26,0,1,ITAPERUCU,0.0,0.0
2020-03-27,0,1,ITAPERUCU,0.0,0.0
2020-03-27,20,154,NUC,0.0,0.0
2020-03-27,19,145,CURITIBA,0.0,0.0
2020-03-27,0,3,PINHAIS,0.0,0.0
2020-03-27,0,1,COLOMBO,0.0,0.0
2020-03-27,1,4,CAMPO LARGO,0.0,0.0
2020-03-28,0,1,ITAPERUCU,0.0,0.0
2020-03-28,7,152,CURITIBA,0.0,0.0
2020-03-28,9,163,NUC,0.0,0.0
2020-03-28,1,5,CAMPO LARGO,0.0,0.0
2020-03-28,0,1,COLOMBO,0.0,0.0
2020-03-28,0,3,PINHAIS,0.0,0.0
2020-03-28,1,1,SAO JOSE DOS PINHAIS,0.0,0.0
2020-03-29,1,1,RIO BRANCO DO SUL,0.0,0.0
2020-03-29,8,160,CURITIBA,0.0,0.0
2020-03-29,1,6,CAMPO LARGO,0.0,0.0
2020-03-29,0,1,COLOMBO,0.0,0.0
2020-03-29,0,1,ITAPERUCU,0.0,0.0
2020-03-29,2,2,ALMIRANTE TAMANDARE,0.0,0.0
2020-03-29,0,3,PINHAIS,0.0,0.0
2020-03-29,0,1,SAO JOSE DOS PINHAIS,0.0,0.0
2020-03-29,12,175,NUC,0.0,0.0
2020-03-30,1,2,SAO JOSE DOS PINHAIS,0.0,0.0
2020-03-30,0,1,ITAPERUCU,0.0,0.0
2020-03-30,16,191,NUC,0.0,0.0
2020-03-30,0,1,RIO BRANCO DO SUL,0.0,0.0
2020-03-30,14,174,CURITIBA,0.0,0.0
2020-03-30,0,6,CAMPO LARGO,0.0,0.0
2020-03-30,0,1,COLOMBO,0.0,0.0
2020-03-30,1,3,ALMIRANTE TAMANDARE,0.0,0.0
2020-03-30,0,3,PINHAIS,0.0,0.0
2020-03-31,3,5,SAO JOSE DOS PINHAIS,0.0,0.0
2020-03-31,24,198,CURITIBA,0.0,0.0
2020-03-31,1,1,FAZENDA RIO GRANDE,0.0,0.0
2020-03-31,33,224,NUC,0.0,0.0
2020-03-31,0,1,ITAPERUCU,0.0,0.0
2020-03-31,0,1,RIO BRANCO DO SUL,0.0,0.0
2020-03-31,1,7,CAMPO LARGO,0.0,0.0
2020-03-31,2,5,PINHAIS,0.0,0.0
2020-03-31,0,1,COLOMBO,0.0,0.0
2020-03-31,2,2,ARAUCARIA,0.0,0.0
2020-03-31,0,3,ALMIRANTE TAMANDARE,0.0,0.0
2020-04-01,0,1,RIO BRANCO DO SUL,0.0,0.0
2020-04-01,0,1,ITAPERUCU,0.0,0.0
2020-04-01,1,6,PINHAIS,0.0,0.0
2020-04-01,0,1,COLOMBO,0.0,0.0
2020-04-01,1,2,FAZENDA RIO GRANDE,0.0,0.0
2020-04-01,0,5,SAO JOSE DOS PINHAIS,0.0,0.0
2020-04-01,0,7,CAMPO LARGO,0.0,0.0
2020-04-01,0,2,ARAUCARIA,0.0,0.0
2020-04-01,18,242,NUC,0.0,0.0
2020-04-01,0,3,ALMIRANTE TAMANDARE,0.0,0.0
2020-04-01,1,1,PIRAQUARA,0.0,0.0
2020-04-01,15,213,CURITIBA,0.0,0.0
2020-04-02,2,4,ARAUCARIA,0.0,0.0
2020-04-02,40,282,NUC,1.0,1.0
2020-04-02,0,1,ITAPERUCU,0.0,0.0
2020-04-02,1,2,COLOMBO,0.0,0.0
2020-04-02,1,2,PIRAQUARA,0.0,0.0
2020-04-02,1,7,PINHAIS,0.0,0.0
2020-04-02,3,8,SAO JOSE DOS PINHAIS,0.0,0.0
2020-04-02,2,2,CAMPO MAGRO,0.0,0.0
2020-04-02,1,3,FAZENDA RIO GRANDE,0.0,0.0
2020-04-02,0,1,RIO BRANCO DO SUL,0.0,0.0
2020-04-02,0,3,ALMIRANTE TAMANDARE,0.0,0.0
2020-04-02,27,240,CURITIBA,1.0,1.0
2020-04-02,1,1,CAMPINA GRANDE DO SUL,0.0,0.0
2020-04-02,1,8,CAMPO LARGO,0.0,0.0
2020-04-03,0,7,PINHAIS,0.0,0.0
2020-04-03,0,2,PIRAQUARA,0.0,0.0
2020-04-03,1,4,FAZENDA RIO GRANDE,0.0,0.0
2020-04-03,45,285,CURITIBA,0.0,1.0
2020-04-03,0,3,ALMIRANTE TAMANDARE,0.0,0.0
2020-04-03,0,1,ITAPERUCU,0.0,0.0
2020-04-03,3,5,COLOMBO,0.0,0.0
2020-04-03,4,12,CAMPO LARGO,0.0,0.0
2020-04-03,55,337,NUC,0.0,1.0
2020-04-03,1,9,SAO JOSE DOS PINHAIS,0.0,0.0
2020-04-03,1,3,CAMPO MAGRO,0.0,0.0
2020-04-03,0,1,RIO BRANCO DO SUL,0.0,0.0
2020-04-03,0,4,ARAUCARIA,0.0,0.0
2020-04-03,0,1,CAMPINA GRANDE DO SUL,0.0,0.0
2020-04-04,1,13,CAMPO LARGO,0.0,0.0
2020-04-04,0,3,ALMIRANTE TAMANDARE,0.0,0.0
2020-04-04,0,4,ARAUCARIA,0.0,0.0
2020-04-04,0,3,CAMPO MAGRO,0.0,0.0
2020-04-04,0,2,PIRAQUARA,0.0,0.0
2020-04-04,25,310,CURITIBA,0.0,1.0
2020-04-04,0,1,CAMPINA GRANDE DO SUL,0.0,0.0
2020-04-04,0,5,COLOMBO,0.0,0.0
2020-04-04,0,1,RIO BRANCO DO SUL,0.0,0.0
2020-04-04,0,9,SAO JOSE DOS PINHAIS,0.0,0.0
2020-04-04,0,1,ITAPERUCU,0.0,0.0
2020-04-04,0,4,FAZENDA RIO GRANDE,0.0,0.0
2020-04-04,2,9,PINHAIS,0.0,0.0
2020-04-04,28,365,NUC,0.0,1.0
2020-04-05,0,1,ITAPERUCU,0.0,0.0
2020-04-05,0,3,ALMIRANTE TAMANDARE,0.0,0.0
2020-04-05,0,1,RIO BRANCO DO SUL,0.0,0.0
